VictimName,Country,Event,Date,Type,EventDescription,PersonDescription,EventCount,Kind,Astronaut,Source,Source2,Source3,
Gordo,USA,Bioflight 1 (Jupiter AM-13),13 December 1958,Squirrel Monkey,"The first flight of an animal aboard the Jupiter IRBM (Intermediate Range Ballistic Missile).  The rocket took off from Cape Canaveral Launch Complex 26, carrying a squirrel monkey named Gordo, and reached an apogee of 467 km.  The capsule successfully re-entered but was lost at sea.","Gordo, a squirrel monkey, was originally named Old Reliable because of he was a fast learner and excelled at his training.  He was renamed to Gordo prior to launch, a name that could be better understood over noisy radio comms.  He was restrained onto a miniature silicone couch and wore a leather-lined plastic helmet for the duration of his mission.  He was in a seated position with his knees drawn up, similar to the human astronauts that would eventually follow in his footsteps.||He endured takeoff, 9 minutes of microgravity, and atmospheric entry without any health problems, but was lost at sea after the navy was unable to recover his capsule, which had either suffered a parachute or floatation failure.",1,monkey,,,,,
Miss Able,USA,Bioflight 2 (Jupiter AM-18),28 May 1959,Rhesus Macaque,"This second flight of monkeys aboard a Jupiter IRBM (Intermediate Range Ballistic Missile).  The rocket carried two passengers:  a rhesus macaque named Miss Able and a squirrel monkey named Miss Baker.  Their flight was successful, reaching an apogee of 580 km and successfully re-entering the atmosphere without a recovery failure.  Unfortunately, Miss Able died four days the mission during surgery to remove an implanted electrode.  Miss Baker survived, becoming the first monkey to return to Earth from space without issue.","Miss Able, a rhesus macaque, was born at a pet store in Independence, Missouri.  She replaced a trained rhesus macaque that was born in India, whom President Eisenhower removed from the mission for fear that it might offend the Indian people.  Similar to Gordo's flight, she was fitted with a miniature spacesuit and helmet and restrained to a miniature couch.  She flew alongside a much smaller squirrel monkey named MIss Baker.||Miss Able was trained to depress a telegraph key with her right hand whenever she saw a red light in her capsule blink to test her awareness throughout the mission.  Whie the rocket flight was nominal and she suffered no health concerns throughout it, she was unable to complete the blinking light task.  The air force stated this was due to a transmission failure that prevented the light from operating, but it was rumored that she was simply wasn't trained well enough to avoid distractions and execute her task.||After passing her post-flight physical with no issues, she was brought to the Armored Medical Research Laboratory at Fort Knox for a surgery to remove an implanted electrode in her head to prevent a possible infection.  Unfortunately the trichloroethylne anesthesia caused a cardiac arrhythmia and she died despite doctors working for two hours to resuscitate her.  The doctors determined that the spaceflight wasn't a contributing factor and that she, for whatever reason, was just inherently sensitive to the anesthesia.  Miss Baker fortunately survived with no complications.||Miss Able's body was taxidermied and is on display at the National Air and Space Museum in Washington, D.C.",1,monkey,,,,,
Goliath,USA,Atlas 32E,10 November 1961,Squirrel Monkey,"This US Air Force mission was intended to fly a squirrel monkey named Goliath to an apogee of 1,050 km aboard an Atlas rocket, but the rocket's main sustainer engine failed 15 seconds into flight, sending it on a dangerous trajectory.  The range safety officer triggered the flight termination system, destroying the rocket in the air before it could impact the ground (which would cause its onboard fuel to explode) and kill more people.","Goliath was given his name as a joke given his small size (only weighing 1.5 pounds).  His flight aboard an Atlas rocket was intended to fly through the lower Van Allen radiation belt (which extends from roughly 1,000 to 12,000 km in altitude).  The mission would reveal if a brief exposure to the belt would have any negative health effects.  Goliath was much less restrained than monkeys in previous flight tests as part of Project SPURT (Small Primate Unrestrained Test).  The flight also included fruit flies, a common model organism, and other insect eggs.||Goliath and the insects died when the rocket veered off course due to an engine failure and was detonated by the range safety officer before it could impact the ground and cost even more lives.",1,monkey,,,,,
Scatback,USA,Atlas 6F,20 December 1961,Rhesus Macaque,"This F-series Atlas flight was intended to gain further information about the health effects of microgravity and in-flight acceleration, with the mission having a special emphasis on atmospheric re-entry dynamics.  The flight reached an apogee of 970 km, and its passenger, a rhesus macaque named Scatback, survived re-entry but was lost at sea.","Scatback the rhesus macaque was named after the offensive position in American Football (a small, nimble player meant to outmaneuver the defense).  The reason why Scatback was named this is apparently lost to time.  To make the monkey's survival more likely after the failure to recover Goliath, Scatback's capsule was mounted on the booster's side for what was intended to be a more robust release.||Scatback survived the flight, including its rough atmospheric re-entry, and the parachute deployed for a successful splashdown.  Unfortunately, the capsule's radio transmitter failed limiting recovery crews to a difficult visual search over a wide area, which whitecap waves made even harder.  Scatback was eventually declared lost at sea.",1,monkey,,,,,
Bonnie,USA,Biosatellite 3,8 July 1969,Pig-tailed Macaque,"Biosatellite 3 carried Bonnie, a pig-tailed macaque, and launched aboard a Delta rocket.  It was intended to orbit Earth for 30 days to see the effects of prolonged microgravity and cosmic ray exposure on primate physiology.  Bonnie's health rapidly declined in-orbit, so the mission was ended after 8 days.  He died shortly after recovery.","Bonnie, a pig-tailed macaque, was chosen to fly aboard Biosatellite 3 and orbit Earth for 30 days.  Up to this point, the longest orbital spaceflight was achieved by the crew of Gemini VII in 1965, who flew for 13 days.  It was hoped that monitoring Bonnie would reveal the effects of prolonged microgravity and cosmic ray exposure.  33 data channels were recorded in flight, including electrolyte balance, brain activity, and cardiovascular activity.  To do this, Bonnie had numerous electrodes and catheters implanted in him before flight.  The research team also amputated his tail, pulled out his incisor teeth, and sutured his anus.||Bonnie stopped eating and drinking after 5 days in orbit.  Bonnie's heartrate and body temperature fell so dangerously low that he was brought back to earth 3 days later, after spending only 8 days total in space.||8 hours after his capsule was recovered, Bonnie died with doctors unable to resuscitate him.  He had lost over a quarter of his bodyweight during his week in space and was extremely dehydrated.  Initially, researchers thought he somehow died due to complications from microgravity exposure, but the cause of death was ultimately ruled as 'over-instrumentation'.",1,monkey,,,,,
flour beetles (genus Tribolium),USA,Biosatellite 1,15 February 1967,Flour Beetles (genus Tribolium),"The Biosatellite missions were intended to observe the effects of prolonged microgravity and cosmic ray exposure on animals and tissue samples.  Biosatellite 1 was launched with a Delta G rocket from Cape Canaveral Air Force Station's Launch Complex 17A for a 2 day mission.  When it was time to return to Earth, the deorbit motor's ignition failed, leaving its passengers stranded.  Biosatellite 1 burned up during an uncontrolled re-entry two months later.",,2,bug,,,,,
fruit flies (Drosophila melanogaster),USA,Biosatellite 1,15 February 1967,Fruit Fly (Drosophila melanogaster),"The Biosatellite missions were intended to observe the effects of prolonged microgravity and cosmic ray exposure on animals and tissue samples.  Biosatellite 1 was launched with a Delta G rocket from Cape Canaveral Air Force Station's Launch Complex 17A for a 2 day mission.  When it was time to return to Earth, the deorbit motor's ignition failed, leaving its passengers stranded.  Biosatellite 1 burned up during an uncontrolled re-entry two months later.",,2,bug,,,,,
fertilized northern leopard frog eggs,USA,Biosatellite 1,15 February 1967,Northern Leopard Frog (Rana pipiens),"The Biosatellite missions were intended to observe the effects of prolonged microgravity and cosmic ray exposure on animals and tissue samples.  Biosatellite 1 was launched with a Delta G rocket from Cape Canaveral Air Force Station's Launch Complex 17A for a 2 day mission.  When it was time to return to Earth, the deorbit motor's ignition failed, leaving its passengers stranded.  Biosatellite 1 burned up during an uncontrolled re-entry two months later.",,2,amphibian,,,,,
parisitoid wasps (genus Habrobracon),USA,Biosatellite 1,15 February 1967,Parisitoid Wasps (genus Habrobracon),"The Biosatellite missions were intended to observe the effects of prolonged microgravity and cosmic ray exposure on animals and tissue samples.  Biosatellite 1 was launched with a Delta G rocket from Cape Canaveral Air Force Station's Launch Complex 17A for a 2 day mission.  When it was time to return to Earth, the deorbit motor's ignition failed, leaving its passengers stranded.  Biosatellite 1 burned up during an uncontrolled re-entry two months later.",,2,bug,,,,,
Multik,Russia,Bion 11,8 January 1997,Rhesus Macaque,"Bion 11 (Бион 11) was the final mission of the Soviet (and later Russian) Bion program.  The spacecraft launched atop a Soyuz-U rocket from Plesetsk Cosmodrome for a 14-day mission, carrying two rhesus macaques (named Multik and Lapik), newts, snails, fruit flies, and other insects.  Recovery was successful, but Multik died one day later during biopsy sampling.","Multik, a rhesus macaque, flew together on Bion 11's 14-day orbital mission with another rhesus macaque named Lapik.  After returning to Earth, Multik was put under general anesthesia for tissue sampling but died from anesthesia complications.||It is unknown whether the included photograph is of Multik or Lapik.",2,monkey,,,,,
8 Mongolian gerbils,Russia,Bion-M No. 1,19 May 2013,mouse,"Bion-M (Бион-М) No. 1 was the first mission of a revamp of the original Bion series of biological flights, this time focused on space medicine.  It was launched on 19 April 2013 on a Soyuz 2-1a rocket from Baikonur Cosmodrome.  Several different kinds of animals were held aboard the spacecraft to see how they acclimated to microgravity and then re-acclimated to normal Earth gravity including 8 gerbils, 45 mice, 15 geckos, 20 snails, and several tilapia fish.  In-flight equipment failures resulted in several of the animals dying (all gerbils, all fish, and 16 mice) before recovery, but all were ultimately killed for dissection.",,5,mammal,,https://en.wikipedia.org/wiki/Bion-M_No.1,,,
45 house mice,Russia,Bion-M No. 1,19 May 2013,Mouse (mus musculus),"Bion-M (Бион-М) No. 1 was the first mission of a revamp of the original Bion series of biological flights, this time focused on space medicine.  It was launched on 19 April 2013 on a Soyuz 2-1a rocket from Baikonur Cosmodrome.  Several different kinds of animals were held aboard the spacecraft to see how they acclimated to microgravity and then re-acclimated to normal Earth gravity including 8 gerbils, 45 mice, 15 geckos, 20 snails, and several tilapia fish.  In-flight equipment failures resulted in several of the animals dying (all gerbils, all fish, and 16 mice) before recovery, but all were ultimately killed for dissection.","45 mice (Mus musculus) were held aboard the Bion-M No. 1 spacecraft, three per cage.  At some point during the flight, a food dispenser failed, resulting in 16 of the mice dying.  The other 29 mice survived the 30-day mission but were killed for dissection after recovery along with all the other animal astronauts aboard.||The included photograph shows some of the mice that survived the spaceflight.",5,mouse,,https://en.wikipedia.org/wiki/Bion-M_No.1,https://www.spacesafetymagazine.com/spaceflight/space-science/crew-bion-m1-dead-landing/,,
several Mozambique tilapia,Russia,Bion-M No. 1,19 May 2013,Mozambique Tilapia,"Bion-M (Бион-М) No. 1 was the first mission of a revamp of the original Bion series of biological flights, this time focused on space medicine.  It was launched on 19 April 2013 on a Soyuz 2-1a rocket from Baikonur Cosmodrome.  Several different kinds of animals were held aboard the spacecraft to see how they acclimated to microgravity and then re-acclimated to normal Earth gravity including 8 gerbils, 45 mice, 15 geckos, 20 snails, and several tilapia fish.  In-flight equipment failures resulted in several of the animals dying (all gerbils, all fish, and 16 mice) before recovery, but all were ultimately killed for dissection.",,5,fish,,https://en.wikipedia.org/wiki/Bion-M_No.1,,,
20 Burgundy snails,Russia,Bion-M No. 1,19 May 2013,Helix Pomatia,"Bion-M (Бион-М) No. 1 was the first mission of a revamp of the original Bion series of biological flights, this time focused on space medicine.  It was launched on 19 April 2013 on a Soyuz 2-1a rocket from Baikonur Cosmodrome.  Several different kinds of animals were held aboard the spacecraft to see how they acclimated to microgravity and then re-acclimated to normal Earth gravity including 8 gerbils, 45 mice, 15 geckos, 20 snails, and several tilapia fish.  In-flight equipment failures resulted in several of the animals dying (all gerbils, all fish, and 16 mice) before recovery, but all were ultimately killed for dissection.",,5,mollusc,,,,,
15 Turner's thick-towed geckos,Russia,Bion-M No. 1,19 May 2013,Gecko (Chondrodactylus turneri),"Bion-M (Бион-М) No. 1 was the first mission of a revamp of the original Bion series of biological flights, this time focused on space medicine.  It was launched on 19 April 2013 on a Soyuz 2-1a rocket from Baikonur Cosmodrome.  Several different kinds of animals were held aboard the spacecraft to see how they acclimated to microgravity and then re-acclimated to normal Earth gravity including 8 gerbils, 45 mice, 15 geckos, 20 snails, and several tilapia fish.  In-flight equipment failures resulted in several of the animals dying (all gerbils, all fish, and 16 mice) before recovery, but all were ultimately killed for dissection.",,5,reptile,,,,,
monkey,China,Shenzhou 2,16 January 2001,monkey,"Shenzhou 2 (Chinese: 神舟二号, 'Divine Vessel 2') was the second test flight of the Shenzhou spacecraft that later went on to carry human crews for the Chinese space program.  Shenzhou 2 launched atop a Long March 2F rocket from Jiuquan Satellite Launch Center on 9 January 2001, carrying a monkey, dog, and rabbit to test its life support system.  Secondary experiment carried 6 mice and additional 'aquatic and terrestrial organisms'.  The Chinese government released no information after the spacecraft landed one week later.  In 2017, Chinese astronaut Yang Liwei stated that a recovery parachute failed.",,4,monkey,,https://en.wikipedia.org/wiki/Shenzhou_2,,,
dog,China,Shenzhou 2,16 January 2001,dog,"Shenzhou 2 (Chinese: 神舟二号, 'Divine Vessel 2') was the second test flight of the Shenzhou spacecraft that later went on to carry human crews for the Chinese space program.  Shenzhou 2 launched atop a Long March 2F rocket from Jiuquan Satellite Launch Center on 9 January 2001, carrying a monkey, dog, and rabbit to test its life support system.  Secondary experiment carried 6 mice and additional 'aquatic and terrestrial organisms'.  The Chinese government released no information after the spacecraft landed one week later.  In 2017, Chinese astronaut Yang Liwei stated that a recovery parachute failed.",,4,dog,,https://en.wikipedia.org/wiki/Shenzhou_2,,,
rabbit,China,Shenzhou 2,16 January 2001,rabbit,"Shenzhou 2 (Chinese: 神舟二号, 'Divine Vessel 2') was the second test flight of the Shenzhou spacecraft that later went on to carry human crews for the Chinese space program.  Shenzhou 2 launched atop a Long March 2F rocket from Jiuquan Satellite Launch Center on 9 January 2001, carrying a monkey, dog, and rabbit to test its life support system.  Secondary experiment carried 6 mice and additional 'aquatic and terrestrial organisms'.  The Chinese government released no information after the spacecraft landed one week later.  In 2017, Chinese astronaut Yang Liwei stated that a recovery parachute failed.",,4,mammal,,https://en.wikipedia.org/wiki/Shenzhou_2,,,
6 mice,China,Shenzhou 2,16 January 2001,mouse,"Shenzhou 2 (Chinese: 神舟二号, 'Divine Vessel 2') was the second test flight of the Shenzhou spacecraft that later went on to carry human crews for the Chinese space program.  Shenzhou 2 launched atop a Long March 2F rocket from Jiuquan Satellite Launch Center on 9 January 2001, carrying a monkey, dog, and rabbit to test its life support system.  Secondary experiment carried 6 mice and additional 'aquatic and terrestrial organisms'.  The Chinese government released no information after the spacecraft landed one week later.  In 2017, Chinese astronaut Yang Liwei stated that a recovery parachute failed.",,4,mouse,,https://en.wikipedia.org/wiki/Shenzhou_2,,,
other unspecified 'organisms',China,Shenzhou 2,16 January 2001,unknown,"Shenzhou 2 (Chinese: 神舟二号, 'Divine Vessel 2') was the second test flight of the Shenzhou spacecraft that later went on to carry human crews for the Chinese space program.  Shenzhou 2 launched atop a Long March 2F rocket from Jiuquan Satellite Launch Center on 9 January 2001, carrying a monkey, dog, and rabbit to test its life support system.  Secondary experiment carried 6 mice and additional 'aquatic and terrestrial organisms'.  The Chinese government released no information after the spacecraft landed one week later.  In 2017, Chinese astronaut Yang Liwei stated that a recovery parachute failed.",,4,unknown,,https://en.wikipedia.org/wiki/Shenzhou_2,,,
Cleopatra,Argentina,Panther X-1 Flight,1 February 1970,Tufted Capuchin Monkey,"This flight, conducted by Argentina's ICTE (Instituto Civil de Tecnología Espacial), was a followup to a rocket flight on 23 December 1969 that safely launched a tufted capuchin monkey named Juan to an apogee of 82 km aboard a Canopus II rocket.  Cleopatra, also a tufted capuchin, was launched aboard a Panther X-1 sounding rocket that reached 20 km.  Cleopatra died when her recovery parachute failed and she impacted the ground.",,1,monkey,,https://en.wikipedia.org/wiki/Monkeys_and_apes_in_space,,,
rhesus macaque (name unknown),Iran,Kavoshgar-5,1 September 2011,Rhesus Macaque,"The Kavoshgar-5 mission (Persian: کاوشگر, 'Explorer') had a rhesus macaque within a Pisgam (پیشگام, 'pioneer') capsule launched aboard a Kavoshgar rocket on a 20-minute suborbital flight.  The mission failed with further details remaining unreleased.","The name of the monkey that died aboard Kavoshgar-5 has not been released.  Their photo was only released accidentally in 2012 during media coverage of Kavoshgar-6, which successfully recovered another rhesus macaque named Fargam.||The specific date of the monkey's failed mission is unreleased.  It is known that the monkey's failed mission occurred during the sixth month of the Solar Hijri calendar, Shahrivar, which is the calendar used by Iran.  In 2011, this month lasted from 23 August through 22 September in the Gregorian calendar.",1,monkey,,,,,
"Fe, Fi, Fo, Fum, and Phooey",USA,Apollo 17,19 December 1972,little pocket mouse,"Apollo 17 was the final mission of the Apollo program, marking the most recent time that humans have set foot on the Moon.  It launched atop a Saturn V rocket on 7 December 1972 and returned 12 days later.  In addition to its human crew, Apollo 17 carried five mice, who remained in the mission's command module and orbited the Moon 75 times.  Four of the five mice survived the mission only to be killed and dissected after landing back on Earth.","Fe, Fi, Fo, Fum, and Phooey are the names given to Apollo 17's five mouse passengers by the astronauts Eugene Cernan, Harrison Schmitt, and Ronald Evans.  Officially, the mice only had identification codes (A3305, A3326, A3352, A3356, and A3400).  They were little pocket mice (Perognathus longimembris).  Their species is naturally adapted to arid environments, so they didn't require drinking water during the duration of their mission and produced little waste, making them an ideal choice.  Each mouse was implanted with a radiation monitor under its scalp.||One mouse, Fo, died during the mission from unspecified causes and the rest were killed after returning to Earth so they could be dissected.  None of them appeared to suffer any damage from radiation exposure in space.||The included photo is of a candidate mouse for the mission.  It could be any one of the five mice, or possibly a different mouse that wasn't selected.",5,mouse,,"https://en.wikipedia.org/wiki/Fe,_Fi,_Fo,_Fum,_and_Phooey",,,
"4 Madagascar hissing cockroaches, 20 jumping bean moths",USA,Genesis I,12 July 2006,"Madagascar hissing cockroach, jumping bean moth","Genesis I is an experimental inflatable space station module manufactured by Bigelow Aerospace and launched atop a Dnepr rocket from the Dombarovsky military airbase in Russia.  Its avionics were rated for a six month mission but continued to function for 2.5 years.  It remains in orbit, but the hissing cockroaches and moths included in its biology experiment presumably starved to death after 6 months or so.","20 jumping bean moth larvae and 4 Madagascar hissing cockroaches were placed in containers aboard the experimental inflatable space station module.  Before inflation, the animals were exposed to the vacuum of space for a few minutes, which they apparently survived.  Before the mission, Bigelow Aerospace researchers found that Madagascar hissing cockroaches can survive over two hours of vacuum exposure.  The module's rotation made it hard for groundstations to downlink data, limiting researchers to monitor the animals with still images instead of video.  From these images it is known that at least some of the Moth larvae successfully metamorphosed into adult moths.||The animals apparently had a 6 month supply of food and were expected to starve to death afterward, which they presumably did.||In the included photograph, the bean moth larvae can be seen in the upper container, floating in microgravity within their beans.  The cockroaches are in the lower container.",1.1,bug,,https://www.nature.com/news/2006/060807/full/news060807-7.html,https://en.wikipedia.org/wiki/Genesis_I,,
Antares and several additional unnamed South African flat rock scorpions,USA,Genesis II,28 June 2007,South African flat rock scoripion,"Like its predecessor, Bigelow Aerospace's Genesis II inflatable space station module was launched atop a Dnepr rocket from the Dombarovsky military airbase in Russia.  Its avionics were rated for six months but lasted for 2.5 years, also like its predecessor.  The module's arthropod passengers died before launch when it was stored during during schedule delays in Russia.  The module's 'Life in a Box' experiment (also called 'Biobox') had automated food and water dispensers for South African flat rock scorpions, Madagascar hissing cockroaches, and a colony of red harvester ants.  ","Bigelow Aerospace held a 'Name the Scorpion' contest prior to launch and selected the name Antares (the brightest star in the constellation Scorpius) for a male scorpion.  They adhered three green gems to Antares' back and put red markings on his claws to tell him apart from the other scorpions.||Antares and the other animals onboard were meant to have a six month food after launch with an original anticipated date of 6 August 2006.  Unfortunately, the launch was delayed by five months when its rocket was grounded after another Dnepr rocket failed during launch.  The launch was then delayed four more times for various reasons, finally happening over a year later.  All animals died while the integrated module was in storage in Russia amid the delays.",1.1,bug,,https://web.archive.org/web/20070513040221/http://www.bigelowaerospace.com/life_death/life_in_a_box.php,,,
red harvester ant colony,USA,Genesis II,28 June 2007,red harvester ant,"Like its predecessor, Bigelow Aerospace's Genesis II inflatable space station module was launched atop a Dnepr rocket from the Dombarovsky military airbase in Russia.  Its avionics were rated for six months but lasted for 2.5 years, also like its predecessor.  The module's arthropod passengers died before launch when it was stored during during schedule delays in Russia.  The module's 'Life in a Box' experiment (also called 'Biobox') had automated food and water dispensers for South African flat rock scorpions, Madagascar hissing cockroaches, and a colony of red harvester ants.  ",,1.1,bug,,,,,
